refdes,stream,timestamp
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-08-20
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-08-23
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-08-22
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-08-25
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-08-21
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-08-24
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-08-26
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-08-27
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-08-28
RS01SLBS-LJ01A-11-OPTAAC103,optaa_sample,2015-08-29
