refdes,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
CE04OSSM-SBD11-04-VELPTA000,,,,,,,,,,,,,,,,,,,,,,80%,100%,100%,100%,100%,100%,100%,100%,100%,97%,7%,,,52%,100%,100%,100%,100%,100%,100%,100%,94%,100%,61%,,,
CE04OSSM-SBD11-06-METBKA000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04OSSM-SBD12-04-PCO2AA000,,,,,,,,,,,,,,,,,,,,,,80%,100%,100%,100%,100%,100%,100%,100%,23%,,,,,52%,100%,100%,100%,100%,100%,100%,100%,94%,100%,61%,,,
CE04OSSM-SBD12-05-WAVSSA000,,,,,,,,,,,,,,,,,,,,,,80%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,81%,100%,100%,100%,100%,100%,100%,100%,94%,100%,61%,,,
CE05MOAS-GL247-01-PARADM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71%,67%,,,10%,100%,100%,100%,16%,,,,,
CE05MOAS-GL247-02-FLORTM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71%,67%,,,10%,100%,100%,100%,16%,,,,,
CE05MOAS-GL247-03-ADCPAM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10%,100%,100%,65%,,,,,,
CE05MOAS-GL247-04-DOSTAM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71%,67%,,,10%,100%,100%,100%,16%,,,,,
CE05MOAS-GL247-05-CTDGVM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71%,67%,,,10%,100%,100%,100%,16%,,,,,
CE05MOAS-GL311-01-PARADM000,,,,,,,,,,,,,,,,81%,100%,16%,,,,,,,,,,,,,32%,100%,42%,,,,,,,,,,,,,,,
CE05MOAS-GL311-02-FLORTM000,,,,,,,,,,,,,,,,81%,100%,16%,,,,,,,,,,,,,32%,100%,42%,,,,,,,,,,,,,,,
CE05MOAS-GL311-03-ADCPAM000,,,,,,,,,,,,,,,,52%,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE05MOAS-GL311-04-DOSTAM000,,,,,,,,,,,,,,,,81%,100%,16%,,,,,,,,,,,,,32%,100%,42%,,,,,,,,,,,,,,,
CE05MOAS-GL311-05-CTDGVM000,,,,,,,,,,,,,,,,84%,100%,16%,,,,,,,,,,,,,32%,100%,42%,,,,,,,,,,,,,,,
CE05MOAS-GL312-01-PARADM000,,,,,,,,,,33%,100%,100%,45%,,,,,,,,,,,93%,,,,,,,32%,100%,45%,,,,,,37%,97%,100%,45%,,,,,,
CE05MOAS-GL312-02-FLORTM000,,,,,,,,,,33%,100%,100%,45%,,,,,,,,,,,93%,,,,,,,32%,100%,45%,,,,,,37%,100%,100%,45%,,,,,,
CE05MOAS-GL312-03-ADCPAM000,,,,,,,,,,33%,100%,30%,,,,,,,,,,,,93%,,,,,,,,,,,,,,,,,,,,,,,,
CE05MOAS-GL312-04-DOSTAM000,,,,,,,,,,33%,100%,100%,45%,,,,,,,,,,,93%,,,,,,,32%,100%,45%,,,,,,37%,97%,100%,45%,,,,,,
CE05MOAS-GL312-05-CTDGVM000,,,,,,,,,,33%,100%,100%,45%,,,,,,,,,,,93%,,,,,,,32%,100%,45%,,,,,,37%,97%,100%,45%,,,,,,
CE05MOAS-GL319-01-PARADM000,,,,,,,,,,37%,84%,,,,,,,,,,,,,,,,,74%,67%,,,,,,,23%,,,,,,,,,,67%,52%,
CE05MOAS-GL319-02-FLORTM000,,,,,,,,,,37%,87%,,,,,,,,,,,,,,,,,74%,67%,,,,,,,23%,,,,,,,,,,70%,58%,
CE05MOAS-GL319-03-ADCPAM000,,,,,,,,,,37%,13%,,,,,,,,,,,,,,,,,65%,,,,,,,,,,,,,,,,,,,,
CE05MOAS-GL319-04-DOSTAM000,,,,,,,,,,37%,84%,,,,,,,,,,,,,,,,,74%,67%,,,,,,,23%,,,,,,,,,,67%,52%,
CE05MOAS-GL319-05-CTDGVM000,,,,,,,,,,37%,84%,,,,,,,,,,,,,,,,,74%,67%,,,,,,,23%,,,,,,,,,,67%,52%,
